,Date,StoreID,RegionID,SalesPredicted,SalesReal
0,2018-01-01,1000,7,6674.8154296875,8540
1,2018-01-02,1000,7,6013.55908203125,10364
2,2018-01-03,1000,7,5973.14794921875,4676
3,2018-01-05,1000,7,7136.66259765625,6267
4,2018-01-06,1000,7,6203.10546875,5953
5,2018-01-08,1000,7,9523.5830078125,9075
6,2018-01-09,1000,7,8348.912109375,7856
7,2018-01-10,1000,7,8161.26513671875,7423
8,2018-01-11,1000,7,7712.22412109375,6283
9,2018-01-12,1000,7,6701.38330078125,7213
10,2018-01-13,1000,7,6539.25634765625,5738
11,2018-01-15,1000,7,10489.0576171875,8902
12,2018-01-16,1000,7,7737.5400390625,8505
13,2018-01-17,1000,7,7883.8212890625,7093
14,2018-01-18,1000,7,7958.390625,7061
15,2018-01-19,1000,7,7857.80029296875,8051
16,2018-01-20,1000,7,6599.85009765625,6790
17,2018-01-22,1000,7,7352.31494140625,6504
18,2018-01-23,1000,7,6354.86279296875,5288
19,2018-01-24,1000,7,6663.53759765625,5608
20,2018-01-25,1000,7,6434.26904296875,5584
21,2018-01-26,1000,7,6460.27099609375,5664
22,2018-01-27,1000,7,5967.62890625,5489
23,2018-01-29,1000,7,9111.5556640625,7989
24,2018-01-30,1000,7,7651.5107421875,7747
25,2018-01-31,1000,7,8254.888671875,7254
26,2018-02-01,1000,7,8226.4423828125,7562
27,2018-02-02,1000,7,8585.1689453125,8907
28,2018-02-03,1000,7,6633.7802734375,7205
29,2018-02-05,1000,7,10562.279296875,10570
30,2018-02-06,1000,7,8514.9482421875,8208
31,2018-02-07,1000,7,8382.6943359375,8111
32,2018-02-08,1000,7,8537.5048828125,7142
33,2018-02-09,1000,7,8681.2822265625,7763
34,2018-02-10,1000,7,6165.2158203125,6374
35,2018-02-12,1000,7,7413.19580078125,6103
36,2018-02-13,1000,7,5901.66845703125,6045
37,2018-02-14,1000,7,6274.48876953125,5437
38,2018-02-15,1000,7,6519.88525390625,5214
39,2018-02-16,1000,7,6651.19580078125,6133
40,2018-02-17,1000,7,6641.15478515625,6939
41,2018-02-19,1000,7,9842.1884765625,9164
42,2018-02-20,1000,7,8126.66650390625,7891
43,2018-02-21,1000,7,8543.26953125,6775
44,2018-02-22,1000,7,8419.6943359375,6870
45,2018-02-23,1000,7,8354.5986328125,6778
46,2018-02-24,1000,7,6530.1396484375,5450
47,2018-02-26,1000,7,7395.85986328125,4561
48,2018-02-27,1000,7,6056.2314453125,5368
49,2018-02-28,1000,7,6008.26708984375,5591
50,2018-01-01,1001,0,3514.19140625,3628
51,2018-01-02,1001,0,2932.8916015625,4542
52,2018-01-03,1001,0,2943.249755859375,1822
53,2018-01-05,1001,0,3445.496826171875,4083
54,2018-01-06,1001,0,3685.4111328125,3769
55,2018-01-08,1001,0,4163.955078125,4500
56,2018-01-09,1001,0,4068.67431640625,4210
57,2018-01-10,1001,0,4161.85546875,3128
58,2018-01-11,1001,0,4113.587890625,3991
59,2018-01-12,1001,0,3716.154296875,4645
60,2018-01-13,1001,0,3780.101318359375,3780
61,2018-01-15,1001,0,4251.685546875,4607
62,2018-01-16,1001,0,3638.36328125,3762
63,2018-01-17,1001,0,3584.657470703125,3693
64,2018-01-18,1001,0,3752.756591796875,3989
65,2018-01-19,1001,0,3179.858642578125,4657
