index,Date,StoreID,RegionID,SalesPredicted,SalesReal
670,2018-01-01,1000,7,8367.068309336584,8540.0
671,2018-01-02,1000,7,7545.349766405629,10364.0
672,2018-01-03,1000,7,8155.53417505129,4676.0
674,2018-01-05,1000,7,8310.6357422441,6267.0
675,2018-01-06,1000,7,7315.520817584435,5953.0
677,2018-01-08,1000,7,9979.362175506398,9075.0
678,2018-01-09,1000,7,9324.756443888784,7856.0
679,2018-01-10,1000,7,9180.057377351584,7423.0
680,2018-01-11,1000,7,8853.194227320779,6283.0
681,2018-01-12,1000,7,8764.56150578348,7213.0
682,2018-01-13,1000,7,7299.371060691127,5738.0
684,2018-01-15,1000,7,9812.163673396331,8902.0
685,2018-01-16,1000,7,8768.22537121611,8505.0
686,2018-01-17,1000,7,8932.847201928265,7093.0
687,2018-01-18,1000,7,8768.960010867118,7061.0
688,2018-01-19,1000,7,8969.17780467202,8051.0
689,2018-01-20,1000,7,7538.655336253505,6790.0
691,2018-01-22,1000,7,8432.219870469433,6504.0
692,2018-01-23,1000,7,7453.015805473269,5288.0
693,2018-01-24,1000,7,7640.193720532221,5608.0
694,2018-01-25,1000,7,7462.078932037554,5584.0
695,2018-01-26,1000,7,7671.740032441551,5664.0
696,2018-01-27,1000,7,7489.427300859788,5489.0
698,2018-01-29,1000,7,9569.637048224628,7989.0
699,2018-01-30,1000,7,9156.841458782295,7747.0
700,2018-01-31,1000,7,8898.187506482665,7254.0
701,2018-02-01,1000,7,7407.821023109725,7562.0
702,2018-02-02,1000,7,7529.165121966693,8907.0
703,2018-02-03,1000,7,6051.658305959267,7205.0
705,2018-02-05,1000,7,8426.03309209433,10570.0
706,2018-02-06,1000,7,7730.752605216855,8208.0
707,2018-02-07,1000,7,7960.088676028648,8111.0
708,2018-02-08,1000,7,7941.8661003667385,7142.0
709,2018-02-09,1000,7,8157.056766093926,7763.0
710,2018-02-10,1000,7,6652.954153941382,6374.0
712,2018-02-12,1000,7,7081.300565816189,6103.0
713,2018-02-13,1000,7,6431.786269822829,6045.0
714,2018-02-14,1000,7,6506.59205931544,5437.0
715,2018-02-15,1000,7,6517.343117627277,5214.0
716,2018-02-16,1000,7,6415.018177036578,6133.0
717,2018-02-17,1000,7,6398.084183810242,6939.0
719,2018-02-19,1000,7,8690.206065966357,9164.0
720,2018-02-20,1000,7,7982.14818016667,7891.0
721,2018-02-21,1000,7,8034.502607351275,6775.0
722,2018-02-22,1000,7,8037.649886863504,6870.0
723,2018-02-23,1000,7,7623.60395308543,6778.0
724,2018-02-24,1000,7,6253.135304662033,5450.0
726,2018-02-26,1000,7,6659.3710504838455,4561.0
727,2018-02-27,1000,7,6220.25400643794,5368.0
728,2018-02-28,1000,7,6334.46718490039,5591.0
1399,2018-01-01,1001,0,4477.05141310876,3628.0
1400,2018-01-02,1001,0,3752.773803162433,4542.0
1401,2018-01-03,1001,0,4112.578599973262,1822.0
1403,2018-01-05,1001,0,4315.510204510353,4083.0
1404,2018-01-06,1001,0,3557.0388782221607,3769.0
1406,2018-01-08,1001,0,5881.231518360464,4500.0
1407,2018-01-09,1001,0,5041.788226878047,4210.0
1408,2018-01-10,1001,0,4993.460558685161,3128.0
1409,2018-01-11,1001,0,4942.534277635839,3991.0
1410,2018-01-12,1001,0,4916.196670371353,4645.0
1411,2018-01-13,1001,0,3254.364416149943,3780.0
1413,2018-01-15,1001,0,5874.651903382328,4607.0
1414,2018-01-16,1001,0,4932.025329619371,3762.0
1415,2018-01-17,1001,0,5020.211854975796,3693.0
1416,2018-01-18,1001,0,4915.2291723945855,3989.0
1417,2018-01-19,1001,0,5043.626541520995,4657.0
1418,2018-01-20,1001,0,3587.3846131056443,3569.0
1420,2018-01-22,1001,0,4421.398046632575,2620.0
1421,2018-01-23,1001,0,3484.55131681231,2512.0
1422,2018-01-24,1001,0,3564.7591161286864,2921.0
1423,2018-01-25,1001,0,3468.01199612669,2973.0
1424,2018-01-26,1001,0,3580.457367589396,3144.0
1425,2018-01-27,1001,0,3766.6824852671225,3562.0
1427,2018-01-29,1001,0,5685.7299312708965,4947.0
1428,2018-01-30,1001,0,4909.736584761887,3138.0
1429,2018-01-31,1001,0,4984.807113578704,3553.0
1430,2018-02-01,1001,0,3646.9770235930623,4036.0
1431,2018-02-02,1001,0,3551.7756372804533,4825.0
1432,2018-02-03,1001,0,2169.9564168231454,3996.0
1434,2018-02-05,1001,0,4496.337904061305,4949.0
1435,2018-02-06,1001,0,3776.9030603719366,3978.0
1436,2018-02-07,1001,0,3889.606293569359,3400.0
1437,2018-02-08,1001,0,3931.725628280582,3611.0
1438,2018-02-09,1001,0,4039.6169364018415,4295.0
1439,2018-02-10,1001,0,2609.8180642485913,3640.0
1441,2018-02-12,1001,0,3037.6203272817543,2757.0
1442,2018-02-13,1001,0,2494.601619723228,2574.0
1443,2018-02-14,1001,0,2554.384138778834,2685.0
1444,2018-02-15,1001,0,2557.7585406459903,3116.0
1445,2018-02-16,1001,0,2436.8446621763005,4150.0
1446,2018-02-17,1001,0,2538.4762521569887,3169.0
1448,2018-02-19,1001,0,4725.20488324749,5213.0
1449,2018-02-20,1001,0,3871.265365093792,3341.0
1450,2018-02-21,1001,0,4071.32745378417,3868.0
1451,2018-02-22,1001,0,3871.441509862908,4087.0
1452,2018-02-23,1001,0,3717.7845678626227,4748.0
1453,2018-02-24,1001,0,2251.9089303049905,3300.0
1455,2018-02-26,1001,0,2937.061711572903,2657.0
1456,2018-02-27,1001,0,2293.4094046450837,2747.0
1457,2018-02-28,1001,0,2421.551606184946,3281.0
2128,2018-01-01,1002,3,5802.669575981265,5892.0
2129,2018-01-02,1002,3,4957.655953417858,5753.0
2130,2018-01-03,1002,3,5597.74629991457,2498.0
2132,2018-01-05,1002,3,5672.721424953981,5054.0
2133,2018-01-06,1002,3,5064.645897604747,4517.0
2135,2018-01-08,1002,3,7314.36173006682,6224.0
2136,2018-01-09,1002,3,6556.764077170135,5619.0
2137,2018-01-10,1002,3,6431.317992416929,4932.0
2138,2018-01-11,1002,3,6257.355882711321,4172.0
2139,2018-01-12,1002,3,6089.105186225903,4309.0
2140,2018-01-13,1002,3,4511.623038221856,4311.0
2142,2018-01-15,1002,3,7034.9604330699985,5533.0
2143,2018-01-16,1002,3,6192.5125237452185,5814.0
2144,2018-01-17,1002,3,6344.062901765581,4982.0
2145,2018-01-18,1002,3,6138.498202270772,4350.0
2146,2018-01-19,1002,3,6283.088740363342,4967.0
2147,2018-01-20,1002,3,4886.042404279249,3972.0
2149,2018-01-22,1002,3,5749.8256435409385,4390.0
2150,2018-01-23,1002,3,4764.635866270792,3619.0
2151,2018-01-24,1002,3,4888.716994256616,4043.0
2152,2018-01-25,1002,3,4887.3583388381385,3791.0
2153,2018-01-26,1002,3,4981.584149680735,3725.0
2154,2018-01-27,1002,3,4945.176002518016,3858.0
2156,2018-01-29,1002,3,7006.488638356415,5542.0
2157,2018-01-30,1002,3,6250.34079645734,5095.0
2158,2018-01-31,1002,3,6182.906113959269,5033.0
2159,2018-02-01,1002,3,4935.38416599373,4888.0
2160,2018-02-02,1002,3,4834.394483463781,5757.0
2161,2018-02-03,1002,3,3471.6014794929774,4912.0
2163,2018-02-05,1002,3,5827.099732466368,7140.0
2164,2018-02-06,1002,3,5071.388127054161,5257.0
2165,2018-02-07,1002,3,5185.093747783838,4951.0
2166,2018-02-08,1002,3,5392.677135685593,5183.0
2167,2018-02-09,1002,3,5396.085341189986,4844.0
2168,2018-02-10,1002,3,3773.6820910021606,3635.0
2170,2018-02-12,1002,3,4333.854202355103,4953.0
2171,2018-02-13,1002,3,3814.6457353580618,4215.0
2172,2018-02-14,1002,3,3899.6408587586043,3845.0
2173,2018-02-15,1002,3,3756.0335639164527,4442.0
2174,2018-02-16,1002,3,3566.389576900155,4413.0
2175,2018-02-17,1002,3,3798.558658469609,4372.0
2177,2018-02-19,1002,3,6207.924612091469,6071.0
2178,2018-02-20,1002,3,5308.0297860599,5327.0
2179,2018-02-21,1002,3,5355.716504300573,4872.0
2180,2018-02-22,1002,3,5250.281366244715,5259.0
2181,2018-02-23,1002,3,5043.526591083151,4458.0
2182,2018-02-24,1002,3,3596.5202782503115,4057.0
2184,2018-02-26,1002,3,4130.024011538055,4276.0
2185,2018-02-27,1002,3,3557.3801708591254,4274.0
2186,2018-02-28,1002,3,3705.6059275815587,4137.0
2857,2018-01-01,1003,7,6319.143247378819,5431.0
2858,2018-01-02,1003,7,5497.424704447863,6887.0
2859,2018-01-03,1003,7,6107.609113093525,3164.0
2861,2018-01-05,1003,7,6262.710680286333,5313.0
2862,2018-01-06,1003,7,5267.5957556266685,4914.0
2864,2018-01-08,1003,7,7931.4371135486335,8013.0
2865,2018-01-09,1003,7,7276.831381931018,6346.0
2866,2018-01-10,1003,7,7132.132315393819,5864.0
2867,2018-01-11,1003,7,6805.2691653630145,5500.0
2868,2018-01-12,1003,7,6716.636443825715,6007.0
2869,2018-01-13,1003,7,5251.445998733361,4900.0
2871,2018-01-15,1003,7,7764.238611438566,7326.0
2872,2018-01-16,1003,7,6720.300309258343,5571.0
2873,2018-01-17,1003,7,6884.922139970499,5294.0
2874,2018-01-18,1003,7,6721.034948909352,5425.0
2875,2018-01-19,1003,7,6921.252742714253,6382.0
2876,2018-01-20,1003,7,5490.73027429574,5861.0
2878,2018-01-22,1003,7,6384.294808511667,3841.0
2879,2018-01-23,1003,7,5405.090743515504,3414.0
2880,2018-01-24,1003,7,5592.268658574456,3861.0
2881,2018-01-25,1003,7,5414.153870079788,3900.0
2882,2018-01-26,1003,7,5623.814970483785,4567.0
2883,2018-01-27,1003,7,5441.502238902022,4654.0
2885,2018-01-29,1003,7,7521.711986266863,5820.0
2886,2018-01-30,1003,7,7108.916396824531,5518.0
2887,2018-01-31,1003,7,6850.2624445249,6154.0
2888,2018-02-01,1003,7,5359.89596115196,5099.0
2889,2018-02-02,1003,7,5481.240060008927,6988.0
2890,2018-02-03,1003,7,4003.7332440015016,6095.0
2892,2018-02-05,1003,7,6378.108030136565,8020.0
2893,2018-02-06,1003,7,5682.827543259089,6192.0
2894,2018-02-07,1003,7,5912.1636140708815,6028.0
2895,2018-02-08,1003,7,5893.941038408973,5017.0
2896,2018-02-09,1003,7,6109.131704136161,6669.0
2897,2018-02-10,1003,7,4605.029091983616,6002.0
2899,2018-02-12,1003,7,5033.375503858423,4208.0
2900,2018-02-13,1003,7,4383.861207865064,3527.0
2901,2018-02-14,1003,7,4458.6669973576745,3916.0
2902,2018-02-15,1003,7,4469.418055669511,4029.0
2903,2018-02-16,1003,7,4367.093115078812,5633.0
2904,2018-02-17,1003,7,4350.159121852477,5738.0
2906,2018-02-19,1003,7,6642.2810040085915,7629.0
2907,2018-02-20,1003,7,5934.2231182089035,6078.0
2908,2018-02-21,1003,7,5986.57754539351,6133.0
2909,2018-02-22,1003,7,5989.724824905739,5743.0
2910,2018-02-23,1003,7,5575.6788911276635,6346.0
2911,2018-02-24,1003,7,4205.210242704267,5315.0
2913,2018-02-26,1003,7,4611.44598852608,3533.0
2914,2018-02-27,1003,7,4172.328944480175,4225.0
2915,2018-02-28,1003,7,4286.542122942625,3970.0
3406,2018-01-05,1004,2,4965.052824276458,3597.0
3407,2018-01-06,1004,2,4003.5492718824635,3653.0
3409,2018-01-08,1004,2,6916.094165319508,6278.0
3411,2018-01-10,1004,2,6297.276725505433,5318.0
3412,2018-01-11,1004,2,5578.198529827088,4861.0
3413,2018-01-12,1004,2,5468.497512495335,4368.0
3414,2018-01-13,1004,2,3803.8406035991557,4114.0
3416,2018-01-15,1004,2,6511.256872804229,5410.0
3417,2018-01-16,1004,2,5424.365143813853,4392.0
3418,2018-01-17,1004,2,5543.694809404422,3510.0
3419,2018-01-18,1004,2,5444.006946703055,3867.0
3420,2018-01-19,1004,2,5430.632396035324,4019.0
3421,2018-01-20,1004,2,3939.976771969408,3487.0
3423,2018-01-22,1004,2,4854.045609694843,4050.0
3424,2018-01-23,1004,2,3969.7441707830885,3383.0
3425,2018-01-24,1004,2,3991.603943270363,3243.0
3426,2018-01-25,1004,2,4124.375040097691,3258.0
3427,2018-01-26,1004,2,4002.0136764170093,3223.0
3428,2018-01-27,1004,2,4085.143942391537,4115.0
3430,2018-01-29,1004,2,6270.396138297852,5094.0
3431,2018-01-30,1004,2,5509.836110480381,2973.0
3432,2018-01-31,1004,2,5373.434602545563,4728.0
3433,2018-02-01,1004,2,4013.1182494935692,4365.0
3434,2018-02-02,1004,2,4075.905124724496,3746.0
3435,2018-02-03,1004,2,2623.788782515319,3785.0
3437,2018-02-05,1004,2,4980.313483684686,3754.0
3438,2018-02-06,1004,2,4542.264580885751,4354.0
3439,2018-02-07,1004,2,4555.41983712388,4303.0
3440,2018-02-08,1004,2,4543.543209877804,3622.0
3441,2018-02-09,1004,2,4639.147542373548,4559.0
3442,2018-02-10,1004,2,3306.6157756512353,4107.0
3444,2018-02-12,1004,2,3807.644444060339,3841.0
3445,2018-02-13,1004,2,2850.5198907422077,3449.0
3446,2018-02-14,1004,2,3044.4410356916364,3635.0
3447,2018-02-15,1004,2,3107.567548196705,3723.0
3448,2018-02-16,1004,2,2882.898592035184,3789.0
3449,2018-02-17,1004,2,3057.6476770962877,4336.0
3451,2018-02-19,1004,2,5231.306404990088,4635.0
3452,2018-02-20,1004,2,4545.445858590788,3275.0
3453,2018-02-21,1004,2,4475.098700490882,3936.0
3454,2018-02-22,1004,2,4338.726952838202,2959.0
3455,2018-02-23,1004,2,4168.079033745307,3744.0
3456,2018-02-24,1004,2,2757.71676538852,3730.0
3458,2018-02-26,1004,2,3535.6064864974965,4105.0
3459,2018-02-27,1004,2,2800.0539065321827,3307.0
3460,2018-02-28,1004,2,2852.829403891983,3512.0
4131,2018-01-01,1005,9,5895.927101660789,4797.0
4132,2018-01-02,1005,9,5080.18723902288,6075.0
4133,2018-01-03,1005,9,5748.625206657908,3221.0
4135,2018-01-05,1005,9,5810.1928543922695,4923.0
4136,2018-01-06,1005,9,4897.71755199275,2867.0
4138,2018-01-08,1005,9,7471.881456008846,8043.0
4139,2018-01-09,1005,9,6665.502261297586,6964.0
4140,2018-01-10,1005,9,6609.3670496514205,5484.0
4141,2018-01-11,1005,9,5952.869340993532,3888.0
4142,2018-01-12,1005,9,6217.042967866103,5341.0
4143,2018-01-13,1005,9,4765.856201723975,2904.0
4145,2018-01-15,1005,9,7231.576055903812,6976.0
4146,2018-01-16,1005,9,6262.184249740542,5677.0
4147,2018-01-17,1005,9,6578.630060706598,6037.0
4148,2018-01-18,1005,9,6154.61635089164,4779.0
4149,2018-01-19,1005,9,6457.969468800578,5357.0
