,Date,StoreID,RegionID,SalesPredicted,SalesReal
0,2018-01-01,1000,7,7145.81,8540
1,2018-01-02,1000,7,6623.97,10364
2,2018-01-03,1000,7,6350.76,4676
3,2018-01-05,1000,7,6930.65,6267
4,2018-01-06,1000,7,6215.43,5953
5,2018-01-08,1000,7,10630.58,9075
6,2018-01-09,1000,7,8485.81,7856
7,2018-01-10,1000,7,8204.23,7423
8,2018-01-11,1000,7,8070.29,6283
9,2018-01-12,1000,7,8236.41,7213
10,2018-01-13,1000,7,6766.75,5738
11,2018-01-15,1000,7,10538.09,8902
12,2018-01-16,1000,7,8206.78,8505
13,2018-01-17,1000,7,8118.72,7093
14,2018-01-18,1000,7,8082.19,7061
15,2018-01-19,1000,7,8286.95,8051
16,2018-01-20,1000,7,6520.89,6790
17,2018-01-22,1000,7,6633.26,6504
18,2018-01-23,1000,7,6391.47,5288
19,2018-01-24,1000,7,6301.27,5608
20,2018-01-25,1000,7,6449.39,5584
21,2018-01-26,1000,7,6392.64,5664
22,2018-01-27,1000,7,6511.41,5489
23,2018-01-29,1000,7,10539.31,7989
24,2018-01-30,1000,7,8111.83,7747
25,2018-01-31,1000,7,8011.46,7254
26,2018-02-01,1000,7,8446.38,7562
27,2018-02-02,1000,7,8733.21,8907
28,2018-02-03,1000,7,6780.79,7205
29,2018-02-05,1000,7,10976.24,10570
30,2018-02-06,1000,7,8568.43,8208
31,2018-02-07,1000,7,8405.54,8111
32,2018-02-08,1000,7,8684.56,7142
33,2018-02-09,1000,7,8633.77,7763
34,2018-02-10,1000,7,6474.61,6374
35,2018-02-12,1000,7,7232.27,6103
36,2018-02-13,1000,7,6295.71,6045
37,2018-02-14,1000,7,6567.04,5437
38,2018-02-15,1000,7,6523.02,5214
39,2018-02-16,1000,7,6237.57,6133
40,2018-02-17,1000,7,6430.81,6939
41,2018-02-19,1000,7,10772.05,9164
42,2018-02-20,1000,7,8448.72,7891
43,2018-02-21,1000,7,8397.62,6775
44,2018-02-22,1000,7,8424.52,6870
45,2018-02-23,1000,7,8248.41,6778
46,2018-02-24,1000,7,6569.75,5450
47,2018-02-26,1000,7,6843.27,4561
48,2018-02-27,1000,7,6300.33,5368
49,2018-02-28,1000,7,6263.94,5591
50,2018-01-01,1001,0,3395.55,3628
51,2018-01-02,1001,0,3439.25,4542
52,2018-01-03,1001,0,3174.46,1822
53,2018-01-05,1001,0,3390.92,4083
54,2018-01-06,1001,0,3720.63,3769
55,2018-01-08,1001,0,4907.11,4500
56,2018-01-09,1001,0,3763.29,4210
57,2018-01-10,1001,0,3802.18,3128
58,2018-01-11,1001,0,3755.98,3991
59,2018-01-12,1001,0,3861.49,4645
60,2018-01-13,1001,0,3804.33,3780
61,2018-01-15,1001,0,4557.29,4607
62,2018-01-16,1001,0,3862.49,3762
63,2018-01-17,1001,0,3849.63,3693
64,2018-01-18,1001,0,3806.63,3989
65,2018-01-19,1001,0,3821.16,4657
66,2018-01-20,1001,0,3698.37,3569
67,2018-01-22,1001,0,3001.98,2620
68,2018-01-23,1001,0,3285.24,2512
69,2018-01-24,1001,0,3176.87,2921
70,2018-01-25,1001,0,3244.51,2973
71,2018-01-26,1001,0,3264.66,3144
72,2018-01-27,1001,0,3594.44,3562
73,2018-01-29,1001,0,4688.32,4947
74,2018-01-30,1001,0,3805.37,3138
75,2018-01-31,1001,0,3685.04,3553
76,2018-02-01,1001,0,3660.94,4036
77,2018-02-02,1001,0,3670.44,4825
78,2018-02-03,1001,0,3637.26,3996
79,2018-02-05,1001,0,4514.18,4949
80,2018-02-06,1001,0,3571.29,3978
81,2018-02-07,1001,0,3633.4,3400
82,2018-02-08,1001,0,3669.42,3611
83,2018-02-09,1001,0,3682.39,4295
84,2018-02-10,1001,0,3575.35,3640
85,2018-02-12,1001,0,3269.38,2757
86,2018-02-13,1001,0,3572.69,2574
87,2018-02-14,1001,0,3564.27,2685
88,2018-02-15,1001,0,3408.49,3116
89,2018-02-16,1001,0,3126.3,4150
90,2018-02-17,1001,0,3671.18,3169
91,2018-02-19,1001,0,4651.88,5213
92,2018-02-20,1001,0,3777.94,3341
93,2018-02-21,1001,0,3737.23,3868
94,2018-02-22,1001,0,3725.52,4087
95,2018-02-23,1001,0,3713.12,4748
96,2018-02-24,1001,0,3783.36,3300
97,2018-02-26,1001,0,2812.74,2657
98,2018-02-27,1001,0,3179.07,2747
